Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Actual_Label
6,97649698,8,6,307,11595,307,0,38.375,108.54089,5792,0,1932.5,2534.0515,121.8846575,0.143369619,7511515.0,27100000.0,97600000,3,97600000,13900000.0,36900000.0,97600000,3,4600,920.0,1772.769,4088,46,0,0,0,0,264,200,0.0819255,0.061444122,0,5792,793.4667,1796.1235,3226059.5,0,0,0,0,1,0,0,0,0,850.1429,38.375,1932.5,0,0,0,0,0,0,8,307,6,11595,251,235,1,32,971.0,0.0,971,971,97600000.0,0.0,97600000,97600000,DoS
6,5303778,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,5.656345345,0.942724224,1325944.5,2649300.0,5299894,1,5303778,1325944.5,2649300.0,5299894,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.9427242,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,3884.0,0.0,3884,3884,5299894.0,0.0,5299894,5299894,DDoS
6,2084012,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,14.39531058,2.399218431,521003.0,1040980.75,2082474,44,2084012,521003.0,1040980.75,2082474,44,0,0.0,0.0,0,0,0,0,0,0,100,0,2.3992183,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
6,8604972,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.789085194,0.464847532,2868324.0,4967125.0,8603866,1,8604972,2868324.0,4967125.0,8603866,1,0,0.0,0.0,0,0,0,0,0,0,80,0,0.46484753,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1106.0,0.0,1106,1106,8603866.0,0.0,8603866,8603866,DDoS
6,2136958,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,11.23091797,1.871819661,712319.3,1233162.8,2136253,314,2136958,712319.3,1233162.8,2136253,314,0,0.0,0.0,0,0,0,0,0,0,80,0,1.8718196,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
6,3009031,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,9.969987016,1.661664503,752257.75,1503865.5,3008056,294,3009031,752257.75,1503865.5,3008056,294,0,0.0,0.0,0,0,0,0,0,0,100,0,1.6616645,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
6,5852553,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,5.125968103,0.854328017,1463138.2,2925553.8,5851469,256,5852553,1463138.2,2925553.8,5851469,256,0,0.0,0.0,0,0,0,0,0,0,100,0,0.85432804,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1084.0,0.0,1084,1084,5851469.0,0.0,5851469,5851469,DDoS
6,67354834,5,8,408,11595,396,0,81.6,175.78055,5792,0,1449.375,2046.6735,178.2054722,0.193007676,5612903.0,19400000.0,67200000,39,67200000,16800000.0,33600000.0,67200000,49,67400000,9622113.0,25400000.0,67200000,48,0,0,0,0,144,264,0.074233726,0.11877395,0,5792,857.7857,1663.7166,2767952.8,1,0,0,0,0,0,0,0,1,923.7692,81.6,1449.375,0,0,0,0,0,0,5,408,8,11595,0,235,2,20,10029.0,0.0,10029,10029,67200000.0,0.0,67200000,67200000,DoS
6,5545568,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.721296718,1848522.6,3200955.0,5544667,125,5545568,2772784.0,3920034.5,5544667,901,0,0.0,0.0,0,0,0,0,0,0,104,40,0.54097253,0.18032418,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,WebAttack
6,1138532,3,6,26,11607,20,0,8.666667,10.263203,5840,0,1934.5,2538.9192,10217.54329,7.904916155,142316.5,402144.44,1137573,3,824,412.0,510.5311,773,51,1138516,227703.2,508632.8,1137573,3,0,0,0,0,72,132,2.634972,5.269944,0,5840,1163.3,2138.329,4572451.5,0,0,0,1,0,0,0,0,2,1292.5555,8.666667,1934.5,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DDoS
