Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Actual_Label
6,6799,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,1764.965436,294.160906,6799.0,0.0,6799,6799,6799,6799.0,0.0,6799,6799,0,0.0,0.0,0,0,0,0,0,0,40,0,294.16092,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
17,61007,2,2,74,174,37,37,37.0,0.0,87,87,87.0,0.0,4065.10728277083,65.5662464963037,20335.666,35177.383,60955,4,48,48.0,0.0,48,48,4,4.0,0.0,4,4,0,0,0,0,40,40,32.783123,32.783123,37,87,57.0,27.386127,750.0,0,0,0,0,0,0,0,0,1,71.25,37.0,87.0,0,0,0,0,0,0,2,74,2,174,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,81,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,24691.3580246914,81.0,0.0,81,81,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,12345.679,12345.679,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,514,65535,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,207,2,1,37,6,37,0,18.5,26.16295,6,6,6.0,0.0,207729.468599034,14492.7536231884,103.5,98.28784,173,34,207,207.0,0.0,207,207,0,0.0,0.0,0,0,1,0,0,0,64,20,9661.836,4830.918,0,37,20.0,19.782146,391.33334,0,1,0,0,1,0,0,0,0,26.666666,18.5,6.0,0,0,0,0,0,0,2,37,1,6,972,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,117326566,356,543,6217,967654,745,0,17.463484,81.3131,4544,0,1782.0515,759.10236,8300.515673,7.662373754,130653.195,1115470.8,10000000,1,117000000,330497.38,1759456.1,10000000,3,112000000,206280.97,1413912.2,10000000,1,0,0,0,0,7132,11004,3.034266,4.628108,0,4544,1082.0789,1046.9406,1096084.5,0,0,0,1,0,0,0,0,1,1083.2826,17.463484,1782.0515,0,0,0,0,0,0,356,6217,543,967654,8192,37,355,20,151014.17,470543.7,1645191,15020,9626199.0,1297192.4,10000000,5507062,Benign
17,48183,2,2,76,236,38,38,38.0,0.0,118,118,118.0,0.0,6475.31287,83.01683166,16061.0,27813.271,48177,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,80,40,41.508415,41.508415,38,118,70.0,43.817806,1920.0,0,0,0,0,0,0,0,0,1,87.5,38.0,118.0,0,0,0,0,0,0,2,76,2,236,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,118731030,30,31,3710,13017,804,0,123.666664,226.09265,1460,0,419.90323,562.177,140.8814528,0.513766283,1978850.5,3850556.2,10000000,1,119000000,4088080.8,4856638.0,10200000,271,119000000,3951808.5,4850296.0,10200000,2,0,0,0,0,612,764,0.25267196,0.26109433,0,1460,269.7903,450.42072,202878.83,0,0,0,1,0,0,0,0,1,274.2131,123.666664,419.90323,0,0,0,0,0,0,30,3710,31,13017,8192,49,29,20,775977.75,1987368.1,6768118,176636,10000000.0,3809.5232,10000000,9999742,Benign
17,277,2,2,60,616,30,30,30.0,0.0,308,308,308.0,0.0,2440433.213,14440.43321,92.333336,153.86465,270,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,40,40,7220.217,7220.217,30,308,141.2,152.26688,23185.2,0,0,0,0,0,0,0,0,1,176.5,30.0,308.0,0,0,0,0,0,0,2,60,2,616,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,86964,3,5,2753,153,2753,0,917.6667,1589.4453,153,0,30.6,68.42368,33416.12621,91.99208868,12423.429,17928.553,39140,1,42773,21386.5,23294.219,37858,4915,49183,12295.75,21357.074,44132,1,0,0,0,0,104,168,34.497032,57.495056,0,2753,322.8889,912.6954,833012.9,0,0,0,1,0,0,0,0,1,363.25,917.6667,30.6,0,0,0,0,0,0,3,2753,5,153,29200,40,1,32,0.0,0.0,0,0,0.0,0.0,0,0,Benign
6,118073624,15,18,882,8730,257,0,58.8,82.002785,1460,0,485.0,621.3744,81.40683477,0.279486636,3689800.8,14500000.0,58900000,1,118000000,8433830.0,21400000.0,58900000,49,118000000,6941649.0,19600000.0,59000000,1,0,0,0,0,312,372,0.12703937,0.15244725,0,1460,282.70587,499.28705,249287.55,0,0,0,1,0,0,0,0,1,291.27274,58.8,485.0,0,0,0,0,0,0,15,882,18,8730,8192,32,14,20,90712.0,35872.94,116078,65346,58900000.0,44469.945,58900000,58900000,Benign
